Sexo Edad Respuesta
Femenino 42 Sí
Masculino 21 Sí
Femenino 34 No
Masculino 42 Sí
Femenino 38 Sí
Masculino 23 Tal vez
Masculino 21 No
Masculino 24 Sí
Masculino 44 Tal vez
Masculino 21 Sí
Femenino 41 Sí
Femenino 25 No
Masculino 37 No
Masculino 23 Tal vez
Femenino 18 Tal vez
Masculino 19 Sí
Femenino 42 Tal vez
Femenino 27 Tal vez
Masculino 24 No
Masculino 20 Tal vez
Femenino 20 Sí
Masculino 37 Tal vez
Masculino 40 Tal vez
Femenino 28 Sí
Masculino 40 Sí
Femenino 43 Sí
Masculino 23 No
Masculino 25 No
Femenino 35 No
Femenino 42 No
Masculino 27 Sí
Femenino 45 Sí
Masculino 45 No
Masculino 32 Sí
Femenino 27 No
Masculino 38 Tal vez
Masculino 27 Sí
Femenino 35 Tal vez
Masculino 37 No
Masculino 32 No
Femenino 26 Sí
Masculino 40 No
Masculino 20 Tal vez
Femenino 34 Sí
Masculino 44 Sí
Masculino 22 Tal vez
Masculino 28 Tal vez
Femenino 43 Tal vez
Masculino 32 Tal vez
Femenino 39 Tal vez
Masculino 25 No
Masculino 31 No
Femenino 23 No
Femenino 30 No
Femenino 20 No
Femenino 21 Sí
Masculino 39 No
Masculino 39 Sí
Masculino 45 Sí
Femenino 23 No
Femenino 44 Tal vez
Femenino 22 No
Femenino 23 Tal vez
Femenino 44 No
Femenino 26 Tal vez
Femenino 18 Sí
Femenino 44 Sí
Femenino 18 Tal vez
Masculino 31 Sí
Femenino 22 No
Masculino 24 Tal vez
Femenino 32 No
Masculino 41 No
Masculino 22 Sí
Femenino 24 No
Masculino 40 No
Masculino 25 Tal vez
Masculino 29 No
Masculino 20 No
Femenino 29 No
Masculino 30 No
Femenino 24 Tal vez
Femenino 19 No
Masculino 44 Tal vez
Femenino 40 No
Masculino 40 Tal vez
Masculino 32 Tal vez
Masculino 32 Sí
Femenino 22 Tal vez
Femenino 30 Sí
Masculino 40 No
Masculino 39 Sí
Femenino 40 Tal vez
Masculino 26 No
Femenino 30 Tal vez
Femenino 32 Sí
Femenino 28 No
Masculino 32 No
Masculino 44 Sí
Femenino 42 No
Femenino 44 Tal vez
Masculino 38 Tal vez
Femenino 20 No
Femenino 22 No
Femenino 37 Sí
Femenino 42 No
Masculino 36 Tal vez
Femenino 24 Sí
Femenino 30 Sí
Femenino 38 Sí
Femenino 20 Sí
Femenino 43 No
Masculino 31 No
Femenino 41 Tal vez
Masculino 41 No
Masculino 22 Tal vez
Femenino 20 Tal vez
Masculino 20 No
Masculino 20 No
Masculino 21 No
Femenino 36 No
Femenino 22 Tal vez
Femenino 21 No
Femenino 23 No
Masculino 20 No
Masculino 34 Tal vez
Femenino 28 Sí
Femenino 26 Tal vez
Femenino 35 No
Femenino 35 Tal vez
Masculino 21 No
Femenino 27 Tal vez
Masculino 45 Sí
Masculino 21 No
Femenino 32 No
Masculino 38 Sí
Masculino 27 No
Masculino 26 Sí
Masculino 36 Sí
Femenino 32 Tal vez
Masculino 24 Tal vez
Masculino 37 Sí
Femenino 36 Tal vez
Masculino 34 No
Masculino 27 Sí
Femenino 21 No
Femenino 20 Tal vez
Femenino 36 Tal vez
Femenino 43 Sí
Masculino 34 No
Femenino 32 Sí
Femenino 20 Sí
Masculino 41 Sí
Femenino 45 Sí
Masculino 26 No
Femenino 43 Tal vez
Masculino 31 No
Femenino 25 Sí
Femenino 35 Tal vez
Femenino 33 Sí
Femenino 30 No
Masculino 41 Sí
Femenino 33 Tal vez
Masculino 29 No
Femenino 26 Sí
Masculino 21 Tal vez
Masculino 44 Tal vez
Femenino 25 Tal vez
Femenino 43 Tal vez
Masculino 21 No
Femenino 37 Tal vez
Masculino 21 No
Femenino 33 Sí
Masculino 45 No
Masculino 42 Sí
Femenino 25 No
Femenino 45 No
Femenino 30 Sí
Masculino 33 Tal vez
Masculino 18 No
Masculino 20 Tal vez
Femenino 20 Sí
Masculino 44 Sí
Masculino 30 No
Masculino 36 Tal vez
Femenino 33 Tal vez
Femenino 19 No
Masculino 34 Sí
Femenino 30 No
Masculino 24 No
Masculino 33 Sí
Masculino 40 Tal vez
Masculino 28 Tal vez
Femenino 32 No
Masculino 45 No
Masculino 41 Tal vez
Femenino 24 No
Femenino 25 Tal vez
Masculino 30 Tal vez
Masculino 18 Sí
Femenino 43 Tal vez
Femenino 26 Sí
Femenino 25 Sí
Femenino 27 Tal vez
Masculino 42 Tal vez
Femenino 21 Sí
Masculino 44 No
Masculino 22 Tal vez
Masculino 37 Sí
Masculino 30 No
Femenino 32 Sí
Femenino 27 No
Femenino 23 Tal vez
